date,store_id,active_captains,orders_placed,orders_delivered,avg_delivery_min,capacity_orders,utilisation_pct,fleet_cost_aed
2025-01-02,DS01,3,19,18,18.7,54,35.2,396.0
2025-01-02,DS03,3,16,16,19.1,54,29.6,392.0
2025-01-02,DS05,3,11,11,20.7,54,20.4,382.0
2025-01-03,DS01,4,56,55,18.6,72,77.8,590.0
2025-01-03,DS02,3,38,36,19.3,54,70.4,432.0
2025-01-03,DS05,3,24,23,19.7,54,44.4,406.0
2025-01-04,DS02,4,51,47,21.6,72,70.8,574.0
2025-01-04,DS04,3,36,35,21.1,54,66.7,430.0
2025-01-04,DS05,3,33,33,18.5,54,61.1,426.0
2025-01-05,DS01,4,56,56,20.9,72,77.8,592.0
2025-01-05,DS03,4,64,64,18.8,72,88.9,608.0
2025-01-05,DS05,3,32,32,21.0,54,59.3,424.0
2025-01-05,DS07,3,43,41,32.6,54,79.6,442.0
2025-01-06,DS01,3,47,44,19.4,54,87.0,448.0
2025-01-06,DS03,4,56,56,20.0,72,77.8,592.0
2025-01-06,DS05,3,30,29,20.3,54,55.6,418.0
2025-01-06,DS06,3,21,21,19.4,54,38.9,402.0
2025-01-08,DS01,8,111,109,20.1,144,77.1,1178.0
2025-01-08,DS04,6,77,76,21.4,108,71.3,872.0
2025-01-08,DS06,3,49,49,20.8,54,90.7,458.0
2025-01-08,DS07,4,92,88,31.8,72,127.8,656.0
2025-01-09,DS02,6,92,89,20.3,108,85.2,898.0
2025-01-09,DS03,10,141,137,18.5,180,78.3,1474.0
2025-01-09,DS05,5,66,63,19.8,90,73.3,726.0
2025-01-09,DS07,4,88,80,30.4,72,122.2,640.0
2025-01-09,DS08,5,72,72,20.2,90,80.0,744.0
2025-01-10,DS06,4,53,53,21.3,72,73.6,586.0
2025-01-10,DS07,6,123,108,32.1,108,113.9,936.0
2025-01-10,DS08,4,69,67,20.3,72,95.8,614.0
2025-01-11,DS01,9,137,132,19.3,162,84.6,1344.0
2025-01-11,DS04,7,87,84,20.2,126,69.0,1008.0
2025-01-11,DS07,5,111,108,30.2,90,123.3,816.0
2025-01-11,DS08,4,66,64,20.4,72,91.7,608.0
2025-01-12,DS04,5,74,70,23.3,90,82.2,740.0
2025-01-12,DS08,4,59,55,19.9,72,81.9,590.0
