date,store_id,sku_id,opening_units,received_units,sold_units,wasted_units,closing_units,lost_demand_units,stockout_flag,ordered_units
2025-05-07,DS01,SKU0261,114,28,12,0,102,0,0,35
2026-03-04,DS01,SKU0261,152,35,14,0,138,0,0,35
2025-10-07,DS01,SKU0176,123,36,20,0,103,0,0,0
2026-06-24,DS01,SKU0176,128,0,12,0,116,0,0,24
2025-03-06,DS01,SKU0161,63,0,15,0,48,0,0,0
2025-11-16,DS01,SKU0161,90,63,12,0,78,0,0,0
2025-12-30,DS01,SKU0161,106,36,9,0,97,0,0,0
2026-04-21,DS01,SKU0161,112,36,16,0,96,0,0,0
2025-03-17,DS01,SKU0266,77,54,16,0,61,0,0,78
2025-02-26,DS01,SKU0122,61,0,8,0,53,0,0,18
2025-07-30,DS01,SKU0122,60,0,14,0,46,0,0,18
2025-10-06,DS01,SKU0172,87,0,13,0,74,0,0,56
2026-06-13,DS01,SKU0172,82,0,14,0,68,0,0,0
2026-03-09,DS01,SKU0095,0,0,0,0,0,8,1,36
2025-01-04,DS01,SKU0076,32,32,8,0,24,0,0,0
2025-03-01,DS01,SKU0076,14,0,13,0,1,0,0,0
2025-09-16,DS01,SKU0076,0,0,0,0,0,5,1,0
2025-12-12,DS01,SKU0076,32,32,8,0,24,0,0,0
2026-03-02,DS01,SKU0076,0,0,0,0,0,5,1,48
2026-01-17,DS01,SKU0127,55,0,10,0,45,0,0,0
2026-04-29,DS01,SKU0106,41,0,11,0,30,0,0,24
2025-04-27,DS01,SKU0219,43,0,10,0,33,0,0,0
2025-01-10,DS01,SKU0143,68,0,6,0,62,0,0,0
2026-05-21,DS01,SKU0143,44,0,6,0,38,0,0,0
2025-07-21,DS01,SKU0018,2,0,2,0,0,4,1,49
2025-07-24,DS01,SKU0032,0,0,0,0,0,6,1,0
2026-01-29,DS01,SKU0061,33,0,8,0,25,0,0,0
2025-02-02,DS01,SKU0212,0,0,0,0,0,8,1,0
2025-02-19,DS01,SKU0023,20,20,5,0,15,0,0,0
2026-02-22,DS01,SKU0023,0,0,0,0,0,6,1,0
2026-06-08,DS01,SKU0256,53,32,8,0,45,0,0,32
2026-02-06,DS01,SKU0085,17,0,9,0,8,0,0,0
2025-05-10,DS01,SKU0013,11,0,4,0,7,0,0,0
2026-06-16,DS01,SKU0013,0,0,0,0,0,7,1,0
2025-06-07,DS01,SKU0169,26,0,9,0,17,0,0,0
2026-05-11,DS01,SKU0169,29,0,3,0,26,0,0,21
2025-05-01,DS01,SKU0132,40,0,2,0,38,0,0,0
2026-04-04,DS01,SKU0132,32,0,4,0,28,0,0,0
2025-06-20,DS01,SKU0218,41,0,1,0,40,0,0,0
2026-04-13,DS01,SKU0218,43,24,2,0,41,0,0,16
2026-05-17,DS01,SKU0218,19,0,3,0,16,0,0,0
2025-10-02,DS01,SKU0043,36,0,7,0,29,0,0,0
2025-04-01,DS01,SKU0113,50,0,7,0,43,0,0,0
2025-09-25,DS01,SKU0113,32,0,2,0,30,0,0,0
2025-12-18,DS01,SKU0134,48,0,2,0,46,0,0,0
2026-06-21,DS01,SKU0134,53,23,10,0,43,0,0,0
2025-06-18,DS01,SKU0259,38,0,2,0,36,0,0,10
2025-08-21,DS01,SKU0259,40,0,4,0,36,0,0,0
2025-01-06,DS01,SKU0209,0,0,0,0,0,6,1,12
2025-01-27,DS01,SKU0209,0,0,0,0,0,2,1,12
2025-03-09,DS01,SKU0209,0,0,0,0,0,2,1,0
2025-04-27,DS01,SKU0050,17,0,3,0,14,0,0,0
2026-03-31,DS01,SKU0135,38,0,4,0,34,0,0,0
2025-05-30,DS01,SKU0016,18,8,6,0,12,0,0,0
2025-09-17,DS01,SKU0016,24,24,6,0,18,0,0,8
2026-06-27,DS01,SKU0016,26,0,6,0,20,0,0,0
2025-11-03,DS01,SKU0081,2,0,0,0,2,0,0,16
2026-01-31,DS01,SKU0081,12,4,5,0,7,0,0,0
2026-03-03,DS01,SKU0081,0,0,0,0,0,2,1,0
2026-04-18,DS01,SKU0081,10,0,8,0,2,0,0,0
2026-04-26,DS01,SKU0081,10,0,5,0,5,0,0,0
2026-06-30,DS01,SKU0081,0,0,0,0,0,2,1,0
2026-02-25,DS01,SKU0195,37,0,6,0,31,0,0,18
2026-05-05,DS01,SKU0195,26,0,5,0,21,0,0,0
2025-07-17,DS01,SKU0030,21,0,5,0,16,0,0,0
2025-09-10,DS01,SKU0030,24,24,5,0,19,0,0,0
2025-06-16,DS01,SKU0236,25,18,2,0,23,0,0,24
2025-03-24,DS01,SKU0242,27,12,1,0,26,0,0,18
2025-04-21,DS01,SKU0242,29,18,0,0,29,0,0,12
2026-04-03,DS01,SKU0242,19,0,2,0,17,0,0,0
2025-01-11,DS01,SKU0251,31,0,5,0,26,0,0,0
2025-05-16,DS01,SKU0147,24,0,6,0,18,0,0,0
2025-01-02,DS01,SKU0230,0,0,0,0,0,3,1,0
2026-02-22,DS01,SKU0230,20,0,5,0,15,0,0,0
2025-03-30,DS01,SKU0200,19,0,5,0,14,0,0,0
2025-03-20,DS01,SKU0225,33,0,1,0,32,0,0,0
2025-12-01,DS01,SKU0240,20,12,1,0,19,0,0,12
2026-03-10,DS01,SKU0240,24,0,3,0,21,0,0,0
2025-04-29,DS01,SKU0260,22,0,2,0,20,0,0,0
2025-09-11,DS01,SKU0260,31,0,7,0,24,0,0,0
2025-11-22,DS01,SKU0260,17,0,1,0,16,0,0,0
2026-05-14,DS01,SKU0264,30,0,2,0,28,0,0,0
2025-04-01,DS01,SKU0156,33,0,3,0,30,0,0,0
2025-10-20,DS01,SKU0156,30,0,2,0,28,0,0,24
2026-01-28,DS01,SKU0156,22,0,2,0,20,0,0,0
2025-01-07,DS01,SKU0086,7,7,2,0,5,0,0,0
2025-04-01,DS01,SKU0086,14,14,3,0,11,0,0,0
2025-04-19,DS01,SKU0086,3,0,2,0,1,0,0,0
2025-12-16,DS01,SKU0086,7,7,6,0,1,0,0,0
2025-04-29,DS01,SKU0022,4,0,1,0,3,0,0,0
2025-05-04,DS01,SKU0022,9,0,0,0,9,0,0,0
2025-08-26,DS01,SKU0022,0,0,0,0,0,4,1,0
2025-05-14,DS01,SKU0198,21,0,1,0,20,0,0,0
2026-06-12,DS01,SKU0198,18,0,2,0,16,0,0,0
2025-03-16,DS01,SKU0138,31,16,2,0,29,0,0,0
2025-11-04,DS01,SKU0138,31,0,2,0,29,0,0,0
2025-09-04,DS01,SKU0194,15,0,1,0,14,0,0,0
2025-12-30,DS01,SKU0121,20,0,2,0,18,0,0,0
2025-03-17,DS01,SKU0145,31,0,4,0,27,0,0,17
2025-06-26,DS01,SKU0145,10,0,4,0,6,0,0,0
2026-05-17,DS01,SKU0145,25,17,2,0,23,0,0,0
2025-07-01,DS01,SKU0128,33,0,0,0,33,0,0,0
2025-04-03,DS01,SKU0087,11,0,5,0,6,0,0,0
2025-12-26,DS01,SKU0035,25,11,4,0,21,0,0,0
2025-10-20,DS01,SKU0059,8,0,1,0,7,0,0,10
2025-10-07,DS01,SKU0079,4,0,3,0,1,0,0,0
2026-01-24,DS01,SKU0011,15,0,4,0,11,0,0,0
2026-02-12,DS01,SKU0011,18,0,6,0,12,0,0,0
2025-03-29,DS01,SKU0037,30,0,3,0,27,0,0,0
2026-04-27,DS01,SKU0037,10,0,3,0,7,0,0,17
2026-02-20,DS01,SKU0179,15,0,6,0,9,0,0,0
2026-06-08,DS01,SKU0210,0,0,0,0,0,1,1,6
2026-04-02,DS01,SKU0207,9,6,2,0,7,0,0,0
2026-01-10,DS01,SKU0091,0,0,0,0,0,3,1,0
2025-07-04,DS01,SKU0047,24,12,0,0,24,0,0,0
2025-05-20,DS01,SKU0253,25,0,1,0,24,0,0,0
2026-02-02,DS01,SKU0253,30,11,2,0,28,0,0,11
2025-03-10,DS01,SKU0167,26,0,4,0,22,0,0,10
2025-03-20,DS01,SKU0167,15,0,4,0,11,0,0,0
2025-11-11,DS01,SKU0215,14,14,2,0,12,0,0,0
2026-02-06,DS01,SKU0215,7,0,5,0,2,0,0,0
2025-06-21,DS01,SKU0197,9,0,0,0,9,0,0,0
2025-08-06,DS01,SKU0238,17,7,1,0,16,0,0,7
2025-10-31,DS01,SKU0222,24,0,1,0,23,0,0,0
2025-02-24,DS01,SKU0051,10,0,0,0,10,0,0,17
2025-12-04,DS01,SKU0051,17,0,2,0,15,0,0,0
2026-06-09,DS01,SKU0051,15,0,4,0,11,0,0,0
2025-02-15,DS01,SKU0205,5,0,0,0,5,0,0,0
2025-08-24,DS01,SKU0205,5,0,2,0,3,0,0,0
2025-10-29,DS01,SKU0205,6,0,2,0,4,0,0,5
2025-11-16,DS01,SKU0114,22,0,1,0,21,0,0,0
2025-06-24,DS01,SKU0115,11,0,2,0,9,0,0,0
2025-01-05,DS01,SKU0073,11,0,0,0,11,0,0,0
2025-02-08,DS01,SKU0073,5,0,3,0,2,0,0,0
2025-04-01,DS01,SKU0073,5,0,2,0,3,0,0,0
2025-07-25,DS01,SKU0073,6,0,3,0,3,0,0,0
2025-10-30,DS01,SKU0073,15,4,2,0,13,0,0,0
2025-02-24,DS01,SKU0010,0,0,0,0,0,0,0,10
2025-08-23,DS01,SKU0010,4,0,3,0,1,0,0,0
2025-08-24,DS01,SKU0010,1,0,1,0,0,1,1,0
2025-06-20,DS01,SKU0069,10,0,1,0,9,0,0,0
