order_id,sku_id,qty,unit_price_aed,line_value_aed,unfulfilled
ORD0000025,SKU0183,1,17.57,17.57,1
ORD0000051,SKU0136,1,29.6,29.6,1
ORD0000121,SKU0103,1,19.38,19.38,1
ORD0000372,SKU0023,1,9.17,9.17,0
ORD0000496,SKU0122,1,19.13,19.13,0
ORD0000717,SKU0117,1,9.15,9.15,0
ORD0000762,SKU0045,1,10.44,10.44,0
ORD0000781,SKU0232,1,42.42,42.42,0
ORD0000843,SKU0023,1,9.17,9.17,1
ORD0001187,SKU0132,1,3.24,3.24,0
ORD0001291,SKU0035,1,20.86,20.86,0
ORD0001304,SKU0018,1,12.52,12.52,0
ORD0001715,SKU0161,1,9.34,9.34,0
ORD0002316,SKU0034,1,12.45,12.45,0
ORD0002524,SKU0061,1,9.32,9.32,0
ORD0002638,SKU0081,1,72.8,72.8,1
ORD0002876,SKU0261,1,12.53,12.53,0
ORD0003200,SKU0176,1,25.64,25.64,0
ORD0003645,SKU0205,1,37.16,37.16,0
ORD0003908,SKU0240,1,10.18,10.18,0
ORD0003920,SKU0209,1,19.61,19.61,0
ORD0004218,SKU0127,1,24.74,24.74,0
ORD0004368,SKU0143,1,13.42,13.42,0
ORD0004667,SKU0052,1,15.15,15.15,0
ORD0005175,SKU0161,1,9.34,9.34,0
ORD0005204,SKU0260,1,50.74,50.74,0
ORD0005270,SKU0161,1,9.34,9.34,0
ORD0005400,SKU0235,1,41.86,41.86,0
ORD0005639,SKU0128,1,27.56,27.56,0
ORD0006076,SKU0224,1,13.88,13.88,0
ORD0006464,SKU0135,1,21.67,21.67,0
ORD0006918,SKU0103,1,19.38,19.38,0
ORD0006948,SKU0230,1,36.57,36.57,0
ORD0007127,SKU0116,1,4.0,4.0,0
ORD0007434,SKU0059,1,28.76,28.76,0
ORD0007727,SKU0261,1,12.53,12.53,0
ORD0008027,SKU0261,1,12.53,12.53,0
ORD0008307,SKU0257,1,40.39,40.39,0
ORD0008738,SKU0219,1,35.96,35.96,0
ORD0008934,SKU0044,1,14.55,14.55,0
ORD0008954,SKU0122,1,19.13,19.13,0
ORD0010014,SKU0030,1,3.91,3.91,1
ORD0010217,SKU0094,1,20.54,20.54,0
ORD0010305,SKU0046,1,6.75,6.75,0
ORD0010573,SKU0205,1,37.16,37.16,0
ORD0010631,SKU0053,1,23.79,23.79,0
ORD0010681,SKU0052,1,15.15,15.15,0
ORD0010876,SKU0068,1,71.63,71.63,0
ORD0011417,SKU0172,1,56.41,56.41,0
ORD0011469,SKU0043,1,31.63,31.63,0
ORD0011791,SKU0238,1,53.34,53.34,0
ORD0012245,SKU0176,1,25.64,25.64,0
ORD0012578,SKU0195,1,14.17,14.17,0
ORD0012666,SKU0143,1,13.42,13.42,0
ORD0012680,SKU0253,1,21.15,21.15,0
ORD0012713,SKU0085,1,17.61,17.61,0
ORD0014517,SKU0117,1,9.15,9.15,0
ORD0015507,SKU0103,1,19.38,19.38,0
ORD0015595,SKU0106,1,18.54,18.54,0
ORD0015786,SKU0242,1,18.51,18.51,0
ORD0015860,SKU0061,2,9.32,18.64,0
ORD0015970,SKU0015,1,23.68,23.68,0
ORD0016512,SKU0085,1,17.61,17.61,0
ORD0016833,SKU0161,1,9.34,9.34,0
ORD0016899,SKU0052,1,15.15,15.15,0
