order_id,order_datetime,store_id,items_count,basket_value_aed,basket_cogs_aed,promised_minutes,actual_minutes,status
ORD0001404,2025-01-17 10:02:00,DS01,7,139.3,102.41,20,16.7,delivered
ORD0001553,2025-01-18 17:19:00,DS01,5,110.22,82.1,20,11.2,delivered
ORD0001564,2025-01-18 16:36:00,DS01,1,41.76,24.59,20,17.9,delivered
ORD0001648,2025-01-19 20:18:00,DS01,3,59.15,44.72,20,16.3,delivered
ORD0002894,2025-01-31 15:12:00,DS01,7,187.37,134.15,20,9.4,delivered
ORD0002948,2025-01-31 21:58:00,DS01,7,157.68,117.25,20,26.4,delivered
ORD0003409,2025-02-04 21:38:00,DS01,2,45.19,35.27,20,15.6,delivered
ORD0003585,2025-02-06 10:04:00,DS01,5,98.8,67.89,20,19.3,delivered
ORD0003643,2025-02-06 17:31:00,DS01,18,406.72,289.96,20,25.7,delivered
ORD0003879,2025-02-08 20:34:00,DS01,2,27.33,20.66,20,12.0,delivered
ORD0004051,2025-02-09 15:19:00,DS01,1,50.01,37.12,20,23.0,delivered
ORD0004187,2025-02-11 10:33:00,DS01,2,16.09,11.65,20,13.5,delivered
ORD0004421,2025-02-13 14:42:00,DS01,2,75.91,55.49,20,25.4,delivered
ORD0004943,2025-02-17 19:48:00,DS01,2,49.2,36.3,20,14.5,delivered
ORD0005307,2025-02-21 14:43:00,DS01,1,9.17,7.18,20,18.7,delivered
ORD0005377,2025-02-21 16:04:00,DS01,1,9.34,6.97,20,31.8,delivered
ORD0005655,2025-02-23 14:41:00,DS01,4,158.87,119.34,20,16.6,delivered
ORD0005717,2025-02-24 20:40:00,DS01,4,70.24,51.68,20,23.8,delivered
ORD0006464,2025-03-02 21:29:00,DS01,4,76.97,54.13,20,16.4,delivered
ORD0006594,2025-03-03 17:34:00,DS01,7,236.68,177.32,20,9.6,delivered
ORD0006608,2025-03-03 20:22:00,DS01,3,76.81,51.48,20,26.9,delivered
ORD0006618,2025-03-03 20:25:00,DS01,3,79.62,58.61,20,16.1,delivered
ORD0006711,2025-03-04 18:42:00,DS01,7,218.8,166.48,20,24.4,delivered
ORD0006787,2025-03-04 20:02:00,DS01,3,71.2,47.25,20,17.9,delivered
ORD0006991,2025-03-06 22:23:00,DS01,10,200.29,148.31,20,17.1,delivered
ORD0007017,2025-03-06 20:41:00,DS01,1,17.57,12.43,20,15.1,delivered
ORD0007168,2025-03-07 13:42:00,DS01,20,433.27,319.42,20,11.7,delivered
ORD0007407,2025-03-08 21:47:00,DS01,2,26.63,17.03,20,17.0,delivered
ORD0007530,2025-03-09 20:57:00,DS01,1,35.96,25.73,20,30.5,delivered
ORD0007824,2025-03-11 19:49:00,DS01,2,34.87,26.06,20,33.9,delivered
ORD0007924,2025-03-11 16:17:00,DS01,6,178.89,133.81,20,8.4,delivered
ORD0008836,2025-03-16 11:56:00,DS01,1,25.5,20.07,20,19.4,delivered
ORD0008940,2025-03-17 01:38:00,DS01,5,77.87,56.76,20,22.5,delivered
ORD0009406,2025-03-20 19:05:00,DS01,6,163.4,122.02,20,26.0,delivered
ORD0009444,2025-03-21 01:24:00,DS01,1,25.64,18.93,20,14.8,delivered
ORD0009586,2025-03-21 02:45:00,DS01,15,241.7,176.01,20,27.0,delivered
ORD0009612,2025-03-21 20:44:00,DS01,13,204.02,146.4,20,10.9,delivered
ORD0009707,2025-03-22 23:33:00,DS01,1,56.41,42.5,20,9.0,delivered
ORD0009797,2025-03-22 21:08:00,DS01,5,153.03,104.32,20,21.6,delivered
ORD0009840,2025-03-22 20:49:00,DS01,3,29.1,22.43,20,10.8,delivered
ORD0010396,2025-03-26 17:55:00,DS01,8,166.12,124.99,20,16.0,delivered
ORD0010487,2025-03-27 12:16:00,DS01,3,78.14,54.94,20,30.1,delivered
