po_id,supplier_id,store_id,sku_id,order_date,promised_date,received_date,qty_ordered,qty_received,unit_cost_aed,po_value_aed
PO0000087,SUP08,DS01,SKU0261,2025-11-03,2025-11-10,2025-11-10,63,63,9.59,604.17
PO0000371,SUP06,DS01,SKU0161,2025-08-13,2025-08-19,2025-08-19,36,36,6.97,250.92
PO0000402,SUP06,DS01,SKU0161,2025-12-01,2025-12-07,2025-12-07,72,72,6.97,501.84
PO0000450,SUP06,DS01,SKU0161,2026-05-20,2026-05-26,2026-05-27,45,45,6.97,313.65
PO0000471,SUP08,DS01,SKU0266,2025-02-05,2025-02-12,2025-02-12,24,24,55.53,1332.72
PO0000601,SUP08,DS01,SKU0266,2026-05-11,2026-05-18,2026-05-18,48,48,55.53,2665.44
PO0000721,SUP05,DS01,SKU0117,2026-01-14,2026-01-18,2026-01-18,22,22,6.63,145.86
PO0000740,SUP05,DS01,SKU0117,2026-03-25,2026-03-29,2026-03-29,22,22,6.63,145.86
PO0000830,SUP05,DS01,SKU0122,2025-08-13,2025-08-17,2025-08-17,18,18,14.64,263.52
PO0000881,SUP05,DS01,SKU0122,2026-02-11,2026-02-15,2026-02-15,18,18,14.64,263.52
PO0000902,SUP05,DS01,SKU0122,2026-04-29,2026-05-03,2026-05-03,36,36,14.64,527.04
PO0001111,SUP04,DS01,SKU0095,2025-05-12,2025-05-13,2025-05-13,27,27,14.05,379.35
PO0001262,SUP04,DS01,SKU0094,2025-04-23,2025-04-24,2025-04-24,24,24,13.38,321.12
PO0001348,SUP04,DS01,SKU0094,2026-02-18,2026-02-19,2026-02-19,32,32,13.38,428.16
PO0001388,SUP03,DS01,SKU0076,2025-01-08,2025-01-11,2025-01-11,8,8,10.47,83.76
PO0001390,SUP03,DS01,SKU0076,2025-01-20,2025-01-23,2025-01-23,32,32,10.47,335.04
PO0001409,SUP03,DS01,SKU0076,2025-05-05,2025-05-08,2025-05-08,32,32,10.47,335.04
PO0001412,SUP03,DS01,SKU0076,2025-05-14,2025-05-17,2025-05-17,8,8,10.47,83.76
PO0001447,SUP03,DS01,SKU0076,2025-11-17,2025-11-20,2025-11-20,32,32,10.47,335.04
PO0001517,SUP05,DS01,SKU0127,2025-05-05,2025-05-09,2025-05-09,44,44,18.35,807.4
PO0001618,SUP05,DS01,SKU0127,2026-06-10,2026-06-14,2026-06-14,22,22,18.35,403.7
PO0001646,SUP05,DS01,SKU0106,2025-03-26,2025-03-30,2025-03-30,48,48,13.19,633.12
PO0001710,SUP05,DS01,SKU0106,2025-12-22,2025-12-26,2025-12-26,24,24,13.19,316.56
PO0001779,SUP08,DS01,SKU0219,2025-03-12,2025-03-19,2025-03-19,24,24,25.73,617.52
PO0001921,SUP06,DS01,SKU0143,2025-01-29,2025-02-04,2025-02-04,14,14,9.59,134.26
PO0001972,SUP06,DS01,SKU0143,2025-07-30,2025-08-05,2025-08-05,14,14,9.59,134.26
PO0002132,SUP01,DS01,SKU0018,2025-09-01,2025-09-03,2025-09-03,35,35,9.93,347.55
PO0002138,SUP01,DS01,SKU0018,2025-09-22,2025-09-24,2025-09-24,42,42,9.93,417.06
PO0002158,SUP01,DS01,SKU0018,2025-12-01,2025-12-03,2025-12-03,35,35,9.93,347.55
PO0002305,SUP01,DS01,SKU0032,2025-11-17,2025-11-19,2025-11-19,45,45,20.07,903.15
PO0002494,SUP02,DS01,SKU0061,2026-04-20,2026-04-22,2026-04-22,36,36,7.29,262.44
PO0002632,SUP04,DS01,SKU0212,2026-02-18,2026-02-19,2026-02-19,12,12,14.16,169.92
PO0002705,SUP01,DS01,SKU0023,2025-06-04,2025-06-06,2025-06-06,10,10,7.18,71.8
PO0002746,SUP01,DS01,SKU0023,2025-10-29,2025-10-31,2025-10-31,10,10,7.18,71.8
PO0002921,SUP01,DS01,SKU0012,2026-04-27,2026-04-29,2026-04-29,27,18,13.34,360.18
PO0002964,SUP08,DS01,SKU0256,2025-04-09,2025-04-16,2025-04-16,8,8,19.95,159.6
PO0002988,SUP08,DS01,SKU0256,2025-07-02,2025-07-09,2025-07-09,16,16,19.95,319.2
PO0003078,SUP08,DS01,SKU0256,2026-05-20,2026-05-27,2026-05-27,8,8,19.95,159.6
PO0003083,SUP08,DS01,SKU0256,2026-06-08,2026-06-15,2026-06-15,32,32,19.95,638.4
PO0003385,SUP06,DS01,SKU0169,2025-01-22,2025-01-28,2025-01-28,14,14,5.78,80.92
PO0003420,SUP06,DS01,SKU0169,2025-06-02,2025-06-08,2025-06-08,21,18,5.78,121.38
PO0003489,SUP06,DS01,SKU0169,2026-02-02,2026-02-08,2026-02-08,21,21,5.78,121.38
PO0003526,SUP06,DS01,SKU0169,2026-06-15,2026-06-21,2026-06-21,21,21,5.78,121.38
PO0003599,SUP06,DS01,SKU0132,2025-11-19,2025-11-25,2025-11-25,17,13,2.19,37.23
PO0003628,SUP06,DS01,SKU0132,2026-03-23,2026-03-29,2026-03-29,17,17,2.19,37.23
PO0003711,SUP08,DS01,SKU0218,2025-08-11,2025-08-18,2025-08-18,32,32,27.82,890.24
PO0003714,SUP08,DS01,SKU0218,2025-08-27,2025-09-03,2025-09-03,16,16,27.82,445.12
PO0003762,SUP08,DS01,SKU0218,2026-02-18,2026-02-25,2026-02-25,16,16,27.82,445.12
PO0003793,SUP08,DS01,SKU0218,2026-06-08,2026-06-15,2026-06-15,24,24,27.82,667.68
PO0003844,SUP02,DS01,SKU0043,2025-07-02,2025-07-04,2025-07-04,15,15,23.87,358.05
PO0003856,SUP02,DS01,SKU0043,2025-09-01,2025-09-03,2025-09-03,15,15,23.87,358.05
