sku_id,sku_name,category,storage_temp,supplier_id,unit_price_aed,unit_cost_aed,gross_margin_pct,shelf_life_days,case_pack
SKU0001,Marina Fresh Produce Item 01,Fresh Produce,chilled,SUP01,5.48,4.07,25.7,5,6
SKU0002,Gulf Gold Fresh Produce Item 02,Fresh Produce,chilled,SUP01,15.74,11.62,26.2,8,12
SKU0003,Nadec Fresh Produce Item 03,Fresh Produce,chilled,SUP01,14.69,10.36,29.4,4,7
SKU0004,Quik Value Fresh Produce Item 04,Fresh Produce,chilled,SUP01,11.33,8.6,24.1,6,9
SKU0005,Al Rawabi Fresh Produce Item 05,Fresh Produce,chilled,SUP01,7.42,5.4,27.2,6,9
SKU0006,Emirates Select Fresh Produce Item 06,Fresh Produce,chilled,SUP01,20.69,15.7,24.1,5,10
SKU0007,Freshly Fresh Produce Item 07,Fresh Produce,chilled,SUP01,10.62,7.74,27.1,5,12
SKU0008,Quik Value Fresh Produce Item 08,Fresh Produce,chilled,SUP01,5.98,4.5,24.8,4,12
SKU0009,Nadec Fresh Produce Item 09,Fresh Produce,chilled,SUP01,6.16,4.73,23.3,8,8
SKU0010,Oasis Fresh Produce Item 10,Fresh Produce,chilled,SUP01,13.39,9.44,29.5,6,10
SKU0011,Quik Value Fresh Produce Item 11,Fresh Produce,chilled,SUP01,22.22,16.51,25.7,7,10
SKU0012,Gulf Gold Fresh Produce Item 12,Fresh Produce,chilled,SUP01,18.24,13.34,26.9,6,9
SKU0013,Zafran Fresh Produce Item 13,Fresh Produce,chilled,SUP01,8.3,6.28,24.3,6,7
SKU0014,Nadec Fresh Produce Item 14,Fresh Produce,chilled,SUP01,9.1,7.01,22.9,6,12
SKU0015,Quik Value Fresh Produce Item 15,Fresh Produce,chilled,SUP01,23.68,18.01,23.9,7,11
SKU0016,Almarai Fresh Produce Item 16,Fresh Produce,chilled,SUP01,25.15,20.09,20.1,7,8
SKU0017,Desert Bloom Fresh Produce Item 17,Fresh Produce,chilled,SUP01,21.35,15.78,26.1,4,9
SKU0018,Marina Fresh Produce Item 18,Fresh Produce,chilled,SUP01,12.52,9.93,20.7,8,7
SKU0019,Freshly Fresh Produce Item 19,Fresh Produce,chilled,SUP01,26.26,19.26,26.7,6,11
