captain_id,week_start,trips,earnings_aed,avg_distance_km,online_hours,earnings_per_hour_aed,acceptance_rate,weeks_tenure,is_first_week,churned
CPT00002,2026-01-20,3,126.0,7.176666666666667,4.4,28.64,0.741,3,0,0
CPT00002,2026-04-14,4,125.62,6.8725,6.7,18.75,0.895,15,0,0
CPT00004,2025-08-12,4,126.21,7.199999999999999,6.4,19.72,0.779,0,1,0
CPT00009,2025-12-09,2,74.3,13.74,5.3,14.02,0.957,1,0,0
CPT00010,2025-12-23,4,109.05,8.7525,4.9,22.26,0.827,4,0,0
CPT00010,2026-05-19,2,45.75,5.35,4.5,10.17,0.857,25,0,0
CPT00011,2026-05-26,4,203.82,11.3425,5.0,40.76,0.575,34,0,0
CPT00013,2026-02-10,6,290.62,11.263333333333334,5.3,54.83,0.724,18,0,1
CPT00014,2026-03-31,4,135.83,8.5775,4.7,28.9,0.977,22,0,0
CPT00015,2026-02-17,3,95.89,6.183333333333334,3.6,26.64,0.901,21,0,0
CPT00018,2025-12-16,1,27.74,9.2,5.8,4.78,0.924,12,0,1
CPT00018,2026-01-06,5,198.35,5.958,6.7,29.6,0.671,15,0,1
CPT00019,2026-06-02,3,97.74,5.41,6.7,14.59,0.813,22,0,0
CPT00020,2025-07-22,3,107.22,10.133333333333333,6.5,16.5,0.731,0,1,0
CPT00021,2025-07-15,5,177.21,7.343999999999999,7.3,24.28,0.784,0,1,0
CPT00022,2025-10-21,4,101.4,7.1825,5.7,17.79,0.858,0,1,0
CPT00024,2025-09-23,4,116.98,8.6675,4.3,27.2,0.91,0,1,0
CPT00024,2025-11-25,3,94.84,10.93,5.1,18.6,0.773,0,1,0
CPT00025,2025-10-21,7,274.21,7.090000000000001,8.7,31.52,0.773,10,0,1
CPT00029,2026-01-06,1,25.98,7.82,3.8,6.84,0.771,3,0,0
CPT00030,2026-03-31,4,137.93,6.6375,5.2,26.52,0.802,10,0,0
CPT00031,2025-09-09,2,67.9,6.96,3.8,17.87,0.919,0,1,0
CPT00032,2025-07-22,3,83.46000000000001,8.216666666666667,4.1,20.36,0.871,0,1,1
CPT00035,2025-10-07,1,33.94,8.14,2.9,11.7,0.847,9,0,0
CPT00038,2026-02-10,1,52.08,5.58,4.9,10.63,0.796,7,0,0
CPT00042,2026-03-31,1,39.13,3.54,4.6,8.51,0.872,29,0,0
CPT00045,2026-04-21,6,283.96000000000004,10.853333333333332,6.4,44.37,0.977,24,0,0
CPT00046,2026-05-05,4,103.13,7.8325,5.4,19.1,0.693,1,0,1
CPT00048,2025-10-14,1,52.46,18.5,4.7,11.16,0.959,0,1,0
CPT00053,2025-08-26,1,20.1,3.34,2.4,8.38,0.89,0,1,0
CPT00053,2026-02-10,3,71.46000000000001,4.046666666666667,5.0,14.29,0.74,9,0,0
CPT00054,2026-01-27,1,131.5,28.59,3.7,35.54,0.641,10,0,0
CPT00055,2025-07-22,1,36.04,8.59,2.7,13.35,0.95,0,1,0
CPT00055,2026-06-02,2,54.98,6.835,2.5,21.99,0.799,21,0,0
CPT00056,2026-02-24,3,97.74,6.753333333333334,5.5,17.77,0.82,24,0,0
CPT00057,2025-09-16,2,101.76,10.32,4.2,24.23,0.716,0,1,0
CPT00058,2025-09-23,1,45.39,17.42,2.4,18.91,0.941,0,1,0
CPT00061,2025-11-18,2,70.82,9.795,5.3,13.36,0.981,11,0,0
CPT00061,2025-12-09,3,111.18,8.216666666666667,4.1,27.12,0.857,14,0,0
CPT00062,2026-02-24,2,49.31,7.81,4.7,10.49,0.747,22,0,0
CPT00063,2025-07-22,2,54.59,3.97,4.7,11.61,0.786,0,1,0
CPT00063,2026-01-20,3,242.37,9.223333333333334,6.6,36.72,0.827,12,0,0
CPT00063,2026-05-05,4,148.79,11.345,3.8,39.16,0.881,27,0,0
CPT00065,2026-04-14,4,172.26999999999998,6.41,5.9,29.2,0.823,37,0,0
CPT00065,2026-06-16,4,199.1,16.4375,5.1,39.04,0.841,46,0,0
CPT00069,2025-11-18,1,44.03,11.42,1.9,23.17,0.805,0,1,0
CPT00069,2026-06-09,5,134.39,5.362,5.2,25.84,0.847,22,0,0
CPT00070,2025-09-16,3,153.48,7.153333333333333,5.1,30.09,0.839,1,0,0
CPT00070,2025-10-21,3,168.13,14.906666666666666,5.0,33.63,0.737,6,0,0
CPT00071,2026-01-20,2,65.86,7.21,4.3,15.32,0.759,10,0,0
CPT00074,2026-03-24,1,49.01,14.26,4.2,11.67,0.878,12,0,0
CPT00075,2025-09-09,1,57.8,18.25,2.4,24.08,0.735,0,1,0
CPT00075,2025-11-11,5,179.82999999999998,5.5,6.9,26.06,0.644,0,1,0
CPT00076,2026-06-30,2,61.38,6.62,3.7,16.59,0.907,38,0,0
CPT00078,2026-02-17,4,142.57,8.17,4.5,31.68,0.924,31,0,0
CPT00078,2026-05-12,3,101.18,9.353333333333332,1.7,59.52,0.751,43,0,0
CPT00079,2025-10-21,1,29.29,9.73,6.2,4.72,0.854,0,1,0
CPT00079,2025-11-11,1,49.13,13.7,3.0,16.38,0.819,0,1,0
CPT00079,2025-11-25,3,127.96,8.479999999999999,2.6,49.22,0.83,0,1,0
CPT00080,2026-03-17,1,41.1,6.16,0.9,45.67,0.87,7,0,0
CPT00081,2026-05-12,2,99.75,12.09,4.4,22.67,0.626,41,0,0
CPT00082,2026-01-27,3,182.02,9.356666666666667,4.4,41.37,0.63,17,0,0
CPT00083,2026-06-09,3,165.51,12.093333333333334,5.1,32.45,0.803,25,0,0
CPT00084,2026-04-28,2,84.99,11.39,4.8,17.71,0.857,12,0,0
CPT00085,2025-11-11,1,38.94,15.98,3.6,10.82,0.866,6,0,0
CPT00085,2026-02-17,5,185.67,9.742,6.4,29.01,0.97,20,0,0
CPT00086,2025-10-28,3,91.67,8.993333333333334,4.7,19.5,0.907,12,0,0
CPT00088,2025-11-11,4,127.41,10.2,6.4,19.91,0.883,9,0,0
CPT00089,2025-08-19,3,82.68,7.946666666666666,5.8,14.26,0.77,0,1,1
CPT00090,2026-02-03,3,110.57,8.62,6.4,17.28,0.751,23,0,0
CPT00090,2026-05-19,3,158.73,10.833333333333334,5.5,28.86,0.845,38,0,0
CPT00092,2026-02-03,1,52.86,10.38,1.6,33.04,0.774,8,0,0
CPT00096,2025-07-08,5,259.31,9.41,6.7,38.7,0.835,0,1,0
CPT00096,2026-01-27,5,193.46,8.120000000000001,6.4,30.23,0.822,10,0,0
CPT00098,2025-09-23,4,184.77,7.095,6.8,27.17,0.699,0,1,0
CPT00098,2026-02-03,1,16.19,2.72,3.1,5.22,0.931,10,0,0
CPT00100,2026-06-30,1,25.74,2.93,3.7,6.96,0.751,27,0,0
CPT00103,2025-10-07,4,109.72,6.86,6.4,17.14,0.79,0,1,0
CPT00104,2026-05-05,3,120.58,10.123333333333331,4.4,27.4,0.899,38,0,0
CPT00105,2026-03-31,2,106.77,18.6,5.2,20.53,0.79,8,0,1
CPT00106,2026-06-09,4,143.64,11.6975,4.4,32.65,0.751,26,0,0
CPT00108,2025-10-21,2,51.24,5.574999999999999,4.5,11.39,0.822,0,1,0
