captain_id,city_id,joined_date,vehicle_class,first_week_trips,status,churn_date
CPT00001,AUH,2025-11-22,Business,5,active,
CPT00002,DXB,2025-12-27,Go Plus,26,active,
CPT00003,AUH,2025-11-23,Business,11,active,
CPT00004,DXB,2025-12-11,Go,6,active,
CPT00005,DXB,2025-08-13,Go,17,churned,2025-08-22
CPT00007,SHJ,2025-10-25,Max,3,active,
CPT00008,DXB,2026-01-13,Go,9,active,
CPT00009,DXB,2025-11-26,Go Plus,24,active,
CPT00010,DXB,2025-11-19,Go,20,active,
CPT00013,AUH,2025-10-03,Business,28,churned,2025-10-28
CPT00014,DXB,2025-10-23,Go Plus,28,active,
CPT00016,DXB,2025-12-28,Go Plus,19,active,
CPT00017,DXB,2026-03-09,Business,9,churned,2026-03-28
CPT00018,AUH,2025-09-17,Business,27,churned,2025-10-17
CPT00020,DXB,2025-09-09,Go,16,active,
CPT00021,AUH,2025-08-10,Go Plus,15,active,
CPT00022,DXB,2025-11-05,Go Plus,27,active,
CPT00024,AUH,2025-12-01,Business,22,active,
CPT00025,DXB,2025-08-10,Go,17,churned,2025-09-01
CPT00026,SHJ,2025-09-24,Go,42,active,
CPT00027,AUH,2025-10-31,Go Plus,3,churned,2025-11-16
CPT00028,AUH,2025-11-23,Go,29,active,
CPT00029,SHJ,2025-12-16,Go,67,active,
CPT00031,DXB,2026-03-30,Go Plus,9,active,
CPT00033,SHJ,2025-07-27,Go,15,active,
CPT00035,DXB,2025-08-05,Go Plus,28,active,
CPT00036,DXB,2025-12-15,Max,37,active,
CPT00037,DXB,2025-09-28,Go,18,active,
CPT00038,SHJ,2025-12-20,Go,16,active,
CPT00039,DXB,2025-09-08,Go,11,active,
CPT00041,DXB,2026-03-29,Go Plus,12,churned,2026-04-06
CPT00042,AUH,2025-09-08,Go,43,active,
CPT00043,AUH,2025-12-05,Go,41,active,
CPT00044,AUH,2025-09-18,Go Plus,7,active,
CPT00047,AUH,2025-11-14,Go,9,active,
CPT00049,DXB,2025-12-06,Max,18,active,
CPT00052,DXB,2025-10-03,Business,13,churned,2025-10-26
CPT00054,AUH,2025-11-14,Business,14,active,
CPT00055,SHJ,2026-01-02,Go Plus,37,active,
CPT00056,AUH,2025-09-03,Go,14,active,
CPT00057,DXB,2025-12-18,Go,16,active,
CPT00058,AUH,2025-11-11,Go,5,active,
CPT00059,SHJ,2025-07-17,Go,26,active,
CPT00060,AUH,2025-11-08,Go,47,active,
CPT00061,DXB,2025-09-02,Go,22,active,
CPT00062,DXB,2025-09-19,Max,18,active,
CPT00063,DXB,2025-10-26,Go Plus,29,active,
CPT00064,AUH,2025-08-03,Go,5,active,
CPT00066,AUH,2026-01-14,Go,53,active,
CPT00068,DXB,2026-05-08,Go,18,active,
CPT00069,DXB,2025-12-31,Go,10,active,
CPT00071,DXB,2025-11-10,Go,16,active,
CPT00072,DXB,2025-08-23,Go,25,active,
