datetime,zone_id,requests,completed,unfulfilled,active_captains,avg_eta_promised_min,avg_eta_actual_min,avg_surge
2025-07-04 03:00:00,Z01,2,1,1,1,7.7,11.0,1.7
2025-07-07 03:00:00,Z01,1,1,0,1,7.7,6.8,1.01
2025-07-09 01:00:00,Z01,4,4,0,1,7.6,6.9,0.99
2025-07-20 14:00:00,Z01,5,5,0,2,7.6,7.9,0.98
2025-07-22 14:00:00,Z01,4,4,0,1,7.3,8.6,1.0
2025-07-23 03:00:00,Z01,1,1,0,1,7.6,7.8,1.01
2025-07-26 06:00:00,Z01,8,4,4,1,7.8,11.4,1.75
2025-07-31 19:00:00,Z01,10,9,1,3,7.6,7.7,1.11
2025-08-04 13:00:00,Z01,6,6,0,2,7.3,7.9,1.0
2025-08-05 15:00:00,Z01,8,7,1,2,7.3,7.8,1.1
2025-08-05 17:00:00,Z01,3,3,0,1,7.7,7.3,0.99
2025-08-06 08:00:00,Z01,13,6,7,2,7.9,12.6,1.86
2025-08-09 00:00:00,Z01,3,2,1,1,7.2,9.2,1.36
2025-08-09 08:00:00,Z01,16,8,8,3,7.7,11.1,1.75
2025-08-10 03:00:00,Z01,0,0,0,1,7.7,6.6,1.0
2025-08-10 16:00:00,Z01,6,6,0,2,8.0,7.5,1.02
2025-08-16 06:00:00,Z01,13,8,5,3,7.6,11.4,1.47
2025-08-18 19:00:00,Z01,12,12,0,5,7.9,7.9,1.02
2025-08-21 00:00:00,Z01,4,4,0,1,7.4,6.6,0.99
2025-08-21 08:00:00,Z01,9,4,5,1,7.3,11.3,1.91
2025-08-23 11:00:00,Z01,8,8,0,3,7.7,7.3,1.0
2025-08-24 20:00:00,Z01,4,4,0,1,7.6,7.5,0.99
2025-08-27 10:00:00,Z01,3,3,0,1,7.7,7.7,1.01
2025-08-27 19:00:00,Z01,4,4,0,1,7.1,7.4,1.01
2025-08-30 09:00:00,Z01,9,9,0,4,7.8,6.2,1.01
2025-08-30 21:00:00,Z01,6,5,1,2,7.7,8.6,1.12
2025-08-30 23:00:00,Z01,8,7,1,2,7.1,7.9,1.1
2025-08-31 10:00:00,Z01,3,2,1,1,7.6,9.0,1.35
2025-09-10 08:00:00,Z01,8,4,4,1,7.8,11.3,1.65
2025-09-12 18:00:00,Z01,10,10,0,4,7.9,6.4,1.01
2025-09-16 08:00:00,Z01,10,5,5,2,7.8,9.2,1.75
2025-09-19 00:00:00,Z01,1,1,0,1,7.6,7.5,0.99
2025-09-23 01:00:00,Z01,7,7,0,2,7.6,6.7,1.03
2025-09-23 19:00:00,Z01,2,2,0,1,7.6,7.1,1.0
2025-09-28 11:00:00,Z01,7,7,0,2,7.7,7.7,0.96
2025-09-28 21:00:00,Z01,7,7,0,2,7.6,7.0,0.97
2025-09-29 06:00:00,Z01,9,5,4,2,7.4,10.6,1.54
2025-10-02 08:00:00,Z01,12,6,6,2,7.7,9.3,1.72
2025-10-02 23:00:00,Z01,3,2,1,1,7.9,9.4,1.37
2025-10-07 11:00:00,Z01,1,1,0,1,7.1,8.6,1.04
2025-10-07 20:00:00,Z01,7,6,1,2,7.3,7.1,1.11
2025-10-08 21:00:00,Z01,3,3,0,1,7.4,7.4,1.01
2025-10-11 22:00:00,Z01,7,7,0,3,7.5,6.3,0.98
2025-10-14 18:00:00,Z01,7,7,0,3,7.1,6.4,0.97
2025-10-17 17:00:00,Z01,14,14,0,6,7.7,6.5,0.99
2025-10-18 16:00:00,Z01,8,8,0,3,7.3,7.7,1.01
2025-10-20 19:00:00,Z01,4,4,0,1,7.5,8.5,1.01
2025-11-03 16:00:00,Z01,4,4,0,1,7.9,7.0,1.02
2025-11-05 20:00:00,Z01,1,1,0,1,7.6,8.7,0.99
2025-11-10 18:00:00,Z01,6,6,0,2,7.5,8.2,1.0
2025-11-14 10:00:00,Z01,2,1,1,1,7.6,11.5,1.75
2025-11-15 02:00:00,Z01,2,2,0,1,7.6,7.7,1.0
2025-11-22 00:00:00,Z01,5,5,0,2,7.3,7.2,1.0
