trip_id,requested_at,city_id,pickup_zone,dropoff_zone,captain_id,vehicle_class,status,fare_aed,distance_km,duration_min,eta_promised_min,eta_actual_min,surge_multiplier,rider_rating
TRP0000019,2025-07-01 07:00:00,DXB,Z01,Z05,CPT00034,Go Plus,completed,55.36,9.65,32.2,8.0,8.4,1.45,5.0
TRP0000491,2025-07-05 12:00:00,DXB,Z01,Z01,CPT01896,Max,completed,30.94,1.22,7.2,6.6,9.6,1.2,4.7
TRP0000505,2025-07-05 15:00:00,DXB,Z01,Z15,CPT00828,Go,completed,56.01,19.71,53.9,8.2,10.0,1.18,4.5
TRP0000582,2025-07-06 06:00:00,DXB,Z01,Z10,CPT00389,Go,completed,23.71,1.55,7.3,8.5,11.2,1.71,4.5
TRP0000776,2025-07-08 10:00:00,DXB,Z01,Z12,CPT02024,Go,completed,23.01,6.62,15.7,6.3,8.0,0.99,4.4
TRP0001021,2025-07-10 18:00:00,DXB,Z01,Z03,CPT01155,Max,completed,44.1,6.85,19.4,7.1,8.2,1.02,4.9
TRP0001135,2025-07-11 16:00:00,DXB,Z01,Z08,CPT01657,Go,completed,39.88,15.61,39.7,8.5,7.7,1.0,4.9
TRP0001199,2025-07-12 03:00:00,DXB,Z01,Z12,CPT01742,Go,completed,35.47,8.05,24.3,7.2,8.5,1.37,5.0
TRP0001654,2025-07-16 11:00:00,DXB,Z01,Z11,CPT00135,Go,completed,19.84,4.78,16.5,6.1,7.6,1.0,5.0
TRP0001713,2025-07-17 00:00:00,DXB,Z01,Z09,CPT00084,Business,completed,61.34,7.99,31.0,7.7,8.6,1.12,5.0
TRP0002018,2025-07-19 13:00:00,DXB,Z01,Z09,CPT01063,Go,completed,40.28,11.2,24.0,7.4,8.2,1.27,4.6
TRP0002025,2025-07-19 15:00:00,DXB,Z01,Z10,CPT01961,Go,completed,19.26,4.16,14.1,7.3,5.9,1.03,4.8
TRP0002468,2025-07-23 16:00:00,DXB,Z01,Z12,CPT02080,Go,completed,12.48,0.8,5.5,7.8,6.8,1.0,4.7
TRP0002508,2025-07-23 22:00:00,DXB,Z01,Z01,CPT00713,Go,completed,22.87,6.67,22.1,6.7,7.5,0.98,5.0
TRP0002642,2025-07-25 06:00:00,DXB,Z01,Z09,CPT00002,Go,completed,46.25,8.26,21.4,7.8,8.4,1.76,4.8
TRP0002910,2025-07-27 09:00:00,DXB,Z01,Z03,CPT00927,Go Plus,completed,25.02,2.91,8.8,7.4,8.2,1.12,4.9
TRP0003054,2025-07-28 21:00:00,DXB,Z01,Z02,CPT01844,Business,completed,62.54,7.5,23.9,7.4,6.5,1.18,4.1
TRP0003091,2025-07-29 11:00:00,DXB,Z01,Z06,CPT02564,Go,completed,18.32,3.86,19.0,6.9,7.3,1.01,4.3
TRP0003266,2025-07-31 09:00:00,DXB,Z01,Z01,CPT01726,Go,completed,31.71,6.75,12.5,7.3,7.6,1.35,4.9
TRP0003275,2025-07-31 13:00:00,DXB,Z01,Z02,CPT02041,Go Plus,completed,32.43,4.81,12.4,6.9,10.3,1.21,5.0
TRP0003309,2025-07-31 19:00:00,DXB,Z01,Z07,CPT01769,Go,completed,24.37,5.92,16.9,7.0,7.8,1.11,4.4
TRP0003643,2025-08-03 18:00:00,DXB,Z01,Z07,CPT02552,Go,completed,14.9,1.95,9.6,6.4,4.6,1.02,4.2
TRP0003708,2025-08-04 12:00:00,DXB,Z01,Z03,CPT00063,Go Plus,completed,50.96,12.1,32.8,6.2,8.2,1.16,4.0
TRP0003736,2025-08-04 18:00:00,DXB,Z01,Z12,CPT00401,Go,completed,14.55,1.84,9.6,6.8,6.1,1.01,5.0
TRP0003766,2025-08-04 22:00:00,DXB,Z01,Z01,CPT02086,Go Plus,completed,31.75,6.15,17.2,8.6,7.6,1.06,5.0
TRP0003873,2025-08-06 02:00:00,DXB,Z01,Z15,CPT01192,Go Plus,completed,48.63,14.52,30.6,8.6,8.3,0.98,4.9
TRP0003980,2025-08-07 01:00:00,DXB,Z01,Z13,CPT01537,Max,completed,33.88,1.51,8.4,8.1,9.6,1.27,5.0
TRP0003984,2025-08-07 06:00:00,DXB,Z01,Z02,CPT01919,Max,completed,51.38,2.01,7.8,6.5,8.7,1.82,4.4
TRP0004033,2025-08-07 14:00:00,DXB,Z01,Z15,CPT00490,Go,completed,26.73,8.65,36.6,5.1,7.0,0.99,4.5
TRP0004244,2025-08-09 09:00:00,DXB,Z01,Z04,CPT00775,Go,completed,24.52,7.05,26.7,7.5,5.4,1.02,4.6
TRP0004530,2025-08-11 22:00:00,DXB,Z01,Z14,CPT01585,Go,completed,16.72,3.0,11.8,8.0,6.5,1.01,4.5
TRP0004858,2025-08-14 21:00:00,DXB,Z01,Z14,CPT02576,Go,completed,41.05,12.7,42.1,7.8,8.6,1.19,4.8
TRP0004880,2025-08-15 05:00:00,DXB,Z01,Z06,CPT02356,Go,completed,24.05,4.8,17.7,7.1,9.4,1.21,4.5
TRP0004992,2025-08-15 21:00:00,DXB,Z01,Z06,CPT00729,Go Plus,completed,48.94,13.43,41.4,7.7,7.3,1.04,4.3
TRP0005158,2025-08-17 06:00:00,DXB,Z01,Z06,CPT02174,Business,completed,68.79,6.33,17.9,7.2,10.7,1.41,4.6
TRP0005356,2025-08-19 03:00:00,DXB,Z01,Z02,CPT01173,Go,completed,21.85,6.23,24.5,7.1,9.2,0.97,4.8
TRP0005471,2025-08-20 12:00:00,DXB,Z01,Z14,CPT00191,Go,completed,27.83,5.9,18.8,7.2,8.1,1.27,4.7
TRP0005558,2025-08-21 09:00:00,DXB,Z01,Z01,CPT00268,Go,completed,15.17,2.51,9.2,7.2,8.7,0.97,4.6
TRP0005655,2025-08-22 09:00:00,DXB,Z01,Z04,CPT02058,Go Plus,completed,61.18,19.18,65.5,6.6,5.8,1.01,5.0
TRP0005772,2025-08-23 07:00:00,DXB,Z01,Z02,CPT00720,Business,completed,113.27,12.08,28.2,8.3,10.5,1.63,4.4
TRP0005904,2025-08-24 07:00:00,DXB,Z01,Z10,CPT02525,Go Plus,completed,64.74,9.61,28.7,7.5,13.0,1.7,5.0
TRP0006050,2025-08-25 16:00:00,DXB,Z01,Z12,CPT01204,Max,completed,25.92,1.35,8.1,7.7,5.0,0.99,4.4
TRP0006079,2025-08-25 21:00:00,DXB,Z01,Z13,CPT00765,Go Plus,completed,31.15,4.45,13.0,6.1,9.4,1.2,4.9
TRP0006086,2025-08-25 22:00:00,DXB,Z01,Z04,CPT02090,Max,completed,46.18,7.95,27.2,7.4,5.8,0.99,4.9
TRP0006483,2025-08-29 15:00:00,DXB,Z01,Z06,CPT00349,Go,completed,40.45,15.7,41.6,7.3,8.3,1.01,4.9
TRP0006654,2025-08-30 22:00:00,DXB,Z01,Z04,CPT02086,Max,cancelled_rider,0.0,0.0,0.0,6.7,7.0,1.03,
TRP0006658,2025-08-30 23:00:00,DXB,Z01,Z02,CPT01066,Max,completed,58.64,10.1,25.0,7.2,6.8,1.1,4.7
TRP0006685,2025-08-31 05:00:00,DXB,Z01,Z09,CPT00288,Go Plus,completed,33.09,5.44,20.8,7.0,9.0,1.17,5.0
TRP0006713,2025-08-31 12:00:00,DXB,Z01,Z14,CPT01557,Go Plus,completed,43.77,12.22,39.9,7.1,6.8,0.99,4.7
TRP0006991,2025-09-03 11:00:00,DXB,Z01,Z07,CPT02424,Go,completed,14.46,1.87,8.0,6.4,7.1,1.0,5.0
TRP0007683,2025-09-09 16:00:00,DXB,Z01,Z09,CPT00940,Go Plus,completed,41.3,10.98,40.4,8.0,9.1,1.0,5.0
TRP0008143,2025-09-13 15:00:00,DXB,Z01,Z13,CPT02478,Business,completed,96.59,19.88,52.4,8.2,8.1,0.99,5.0
TRP0008360,2025-09-15 18:00:00,DXB,Z01,Z13,CPT02571,Go,completed,56.04,24.65,59.4,6.1,6.7,0.99,4.8
TRP0009224,2025-09-23 20:00:00,DXB,Z01,Z02,CPT02372,Go Plus,completed,31.77,6.79,29.3,6.8,6.8,1.01,4.7
TRP0009325,2025-09-24 18:00:00,DXB,Z01,Z10,CPT01846,Go,completed,18.16,3.87,13.9,7.6,9.5,1.0,4.4
TRP0009381,2025-09-25 11:00:00,DXB,Z01,Z14,CPT00905,Max,cancelled_rider,0.0,0.0,0.0,7.2,10.1,1.28,
